,5,8,9,10,11,11,12,12,13,16,19,19,34,36,47,49,49,50,53,59,61,62,64,65,67,69,70,72,72,76,89,101,102,104,104,105,142,147,147,148,150,153,154,155,157,172,173,176,178,179,180,183,184,185,186,187,199,202,208,208
5,0.0,716.5,483.9,604.8,589.5,589.5,627.1,627.1,975.8,4589.0,4432.3,4432.3,101.7,324.0,377.4,136.5,136.5,335.1,428.1,576.6,531.6,514.4,563.7,924.6,626.5,683.0,658.6,1685.9,1685.9,1893.3,655.7,361.7,440.1,436.9,436.9,736.1,569.1,307.8,307.8,504.1,765.5,549.9,642.9,659.3,135.2,1124.1,565.3,1093.0,1832.6,1535.2,889.9,626.6,399.8,392.9,305.7,508.4,226.1,4487.4,1202.4,1202.4
8,490.2,0.0,168.8,490.8,475.5,475.5,653.3,653.3,487.4,4099.4,3942.7,3942.7,591.9,437.2,626.9,459.2,459.2,277.4,452.1,498.7,553.5,505.4,587.7,609.5,650.5,707.0,682.6,795.7,795.7,1404.1,340.6,216.4,50.1,53.2,53.2,19.6,595.7,331.9,331.9,320.5,450.4,574.0,666.9,683.3,385.4,809.1,592.0,1118.1,875.7,1046.0,432.4,652.7,423.8,276.7,419.0,532.4,263.5,4000.1,713.1,713.1
9,483.5,168.8,0.0,381.0,365.7,365.7,543.5,543.5,549.9,4268.2,3956.8,3956.8,585.2,441.4,631.1,414.4,414.4,270.7,445.5,388.9,484.2,395.6,480.6,499.7,542.8,599.3,574.9,812.7,812.7,963.5,230.8,385.3,144.8,147.9,147.9,149.2,485.9,408.1,408.1,316.9,340.6,466.8,559.2,575.6,378.7,699.3,482.2,1008.3,892.7,753.0,601.3,542.9,352.8,270.0,423.1,425.2,256.9,4017.4,597.5,597.5
10,604.4,490.8,381.0,0.0,15.3,15.3,163.2,163.2,372.2,3982.6,3825.0,3825.0,770.3,550.2,740.0,572.2,572.2,391.6,565.3,185.3,434.2,154.3,197.9,119.4,162.6,219.1,194.7,680.6,680.6,784.9,191.5,705.9,466.8,469.9,469.9,471.2,244.6,360.6,360.6,269.6,99.3,211.7,178.9,195.3,599.3,319.2,240.8,767.0,760.5,713.6,919.3,162.6,305.6,415.8,532.0,253.3,578.9,3885.7,637.6,637.6
11,589.1,475.5,365.7,15.3,0.0,0.0,178.5,178.5,387.4,3997.8,3951.8,3951.8,755.0,535.0,724.7,557.0,557.0,376.4,550.0,132.3,419.0,139.0,213.2,134.7,177.8,234.3,209.9,807.8,807.8,800.2,176.2,690.6,451.5,454.7,454.7,455.9,229.3,345.3,345.3,254.3,84.0,227.0,194.2,210.6,584.0,334.5,225.6,751.7,887.8,698.3,904.1,177.9,290.3,400.5,516.7,268.5,563.6,4012.4,622.3,622.3
11,589.1,475.5,365.7,15.3,0.0,0.0,178.5,178.5,387.4,3997.8,3951.8,3951.8,755.0,535.0,724.7,557.0,557.0,376.4,550.0,132.3,419.0,139.0,213.2,134.7,177.8,234.3,209.9,807.8,807.8,800.2,176.2,690.6,451.5,454.7,454.7,455.9,229.3,345.3,345.3,254.3,84.0,227.0,194.2,210.6,584.0,334.5,225.6,751.7,887.8,698.3,904.1,177.9,290.3,400.5,516.7,268.5,563.6,4012.4,622.3,622.3
12,627.0,653.5,543.7,163.4,178.7,178.7,0.0,0.0,443.0,4053.4,3895.3,3895.3,701.8,508.8,674.9,530.9,530.9,453.1,495.8,155.1,365.7,148.6,63.7,44.0,28.3,84.8,60.4,751.4,751.4,1157.1,312.5,868.4,629.5,632.7,632.7,633.9,233.2,319.2,319.2,332.3,203.5,77.4,44.7,61.1,762.2,185.7,270.0,698.5,831.4,698.5,1084.8,0.7,263.9,374.4,490.6,119.0,741.6,3956.0,804.0,804.0
12,627.0,653.5,543.7,163.4,178.7,178.7,0.0,0.0,443.0,4053.4,3895.3,3895.3,701.8,508.8,674.9,530.9,530.9,453.1,495.8,155.1,365.7,148.6,63.7,44.0,28.3,84.8,60.4,751.4,751.4,1157.1,312.5,868.4,629.5,632.7,632.7,633.9,233.2,319.2,319.2,332.3,203.5,77.4,44.7,61.1,762.2,185.7,270.0,698.5,831.4,698.5,1084.8,0.7,263.9,374.4,490.6,119.0,741.6,3956.0,804.0,804.0
13,974.5,486.6,550.0,372.3,387.6,387.6,442.9,442.9,0.0,3610.4,3452.3,3452.3,1076.2,932.6,1122.4,905.6,905.6,761.8,936.5,465.0,808.6,525.3,477.6,399.1,442.3,498.8,474.4,308.4,308.4,714.1,318.8,673.7,536.7,539.9,539.9,506.3,615.6,733.2,733.2,641.8,470.3,491.4,458.6,475.0,869.7,598.7,611.8,1138.0,388.4,255.5,641.8,442.3,677.8,761.0,914.4,533.0,747.9,3513.0,361.0,361.0
16,4589.7,4099.6,4161.9,3984.2,3999.4,3999.4,4156.4,4156.4,3611.8,0.0,549.6,549.6,4691.4,4596.6,4655.3,4558.8,4558.8,4377.0,4476.2,4366.2,4346.2,4304.0,4089.5,4011.0,4184.7,4241.2,4216.8,3337.3,3337.3,3286.3,3930.7,4286.7,4149.7,4152.9,4152.9,4119.3,4213.7,4558.3,4558.3,4257.2,4358.9,4103.3,4201.0,4217.4,4484.9,3981.5,4250.4,4678.9,3224.8,3411.9,3899.5,4157.0,4383.9,4376.3,4614.9,4297.9,4475.0,259.3,3520.1,3520.1
19,4427.3,3939.0,4001.5,3823.8,3839.1,3839.1,3996.2,3996.2,3451.5,507.9,0.0,0.0,4529.0,4436.5,4495.2,4563.8,4563.8,4216.4,4316.1,3916.5,4186.0,4143.8,3929.1,3850.6,4024.5,4081.0,4056.6,3178.1,3178.1,3124.1,3770.3,4126.1,3989.1,3992.2,3992.2,3958.6,4053.5,4184.7,4184.7,4095.0,3925.5,3942.9,4040.9,4057.3,4322.5,3818.6,4090.3,4518.8,3064.3,3251.5,3737.3,3996.9,4223.7,4215.7,4454.7,4137.8,4312.6,248.5,3357.8,3357.8
19,4427.3,3939.0,4001.5,3823.8,3839.1,3839.1,3996.2,3996.2,3451.5,507.9,0.0,0.0,4529.0,4436.5,4495.2,4563.8,4563.8,4216.4,4316.1,3916.5,4186.0,4143.8,3929.1,3850.6,4024.5,4081.0,4056.6,3178.1,3178.1,3124.1,3770.3,4126.1,3989.1,3992.2,3992.2,3958.6,4053.5,4184.7,4184.7,4095.0,3925.5,3942.9,4040.9,4057.3,4322.5,3818.6,4090.3,4518.8,3064.3,3251.5,3737.3,3996.9,4223.7,4215.7,4454.7,4137.8,4312.6,248.5,3357.8,3357.8
34,101.7,818.2,585.6,706.4,691.2,691.2,663.8,663.8,1077.5,4690.7,4534.0,4534.0,0.0,224.3,275.7,173.2,173.2,436.8,328.6,613.3,429.9,551.1,600.4,678.9,663.2,719.7,695.3,1787.6,1787.6,1995.0,757.4,463.3,541.8,538.6,538.6,837.8,605.8,344.5,344.5,605.8,606.1,586.6,679.6,696.0,236.9,820.6,562.8,991.3,1934.3,1636.9,991.6,663.3,436.5,315.4,206.0,545.1,327.8,4589.1,1304.1,1304.1
36,187.2,437.2,433.7,542.7,527.4,527.4,508.6,508.6,924.6,4782.4,4625.7,4625.7,216.6,0.0,189.7,91.0,91.0,151.4,309.6,458.1,344.0,395.9,445.2,523.7,508.0,564.5,540.1,1879.3,1879.3,1338.2,605.5,555.0,413.2,416.3,416.3,417.6,450.6,189.3,189.3,349.6,450.8,431.4,524.4,540.7,322.4,665.3,446.8,973.0,1312.9,1728.6,1083.3,508.1,281.3,160.2,18.2,389.9,307.5,4680.8,1395.8,1395.8
47,377.2,631.5,623.7,743.7,728.4,728.4,674.9,674.9,1114.5,4691.0,4534.3,4534.3,275.6,190.0,0.0,281.0,281.0,341.4,301.6,651.5,402.9,589.3,635.2,718.9,697.9,754.4,730.0,2063.2,2063.2,2270.5,795.5,738.9,607.5,610.6,610.6,611.8,499.0,379.3,379.3,476.2,644.3,621.4,714.3,730.7,512.4,855.3,535.8,964.3,1503.5,1912.5,1267.2,675.6,440.6,354.5,208.2,579.8,497.5,4547.6,1579.7,1579.7
49,136.1,459.2,620.0,572.2,557.0,557.0,530.6,530.6,1111.9,4725.2,4568.4,4568.4,172.8,123.8,313.5,0.0,0.0,173.4,331.6,480.1,434.6,417.9,467.2,545.7,530.0,586.5,562.1,1822.0,1822.0,2029.4,791.9,497.8,435.2,438.3,438.3,439.6,472.6,211.3,211.3,371.7,472.8,453.4,546.4,562.7,271.3,687.4,468.8,995.0,1968.7,1671.4,1026.1,530.1,303.3,182.2,105.5,411.9,362.2,4623.6,1338.6,1338.6
49,136.1,459.2,620.0,572.2,557.0,557.0,530.6,530.6,1111.9,4725.2,4568.4,4568.4,172.8,123.8,313.5,0.0,0.0,173.4,331.6,480.1,434.6,417.9,467.2,545.7,530.0,586.5,562.1,1822.0,1822.0,2029.4,791.9,497.8,435.2,438.3,438.3,439.6,472.6,211.3,211.3,371.7,472.8,453.4,546.4,562.7,271.3,687.4,468.8,995.0,1968.7,1671.4,1026.1,530.1,303.3,182.2,105.5,411.9,362.2,4623.6,1338.6,1338.6
50,357.0,277.4,270.7,391.6,376.4,376.4,452.9,452.9,761.6,4376.8,4220.1,4220.1,459.8,238.9,428.6,260.9,260.9,0.0,253.9,402.4,355.2,340.2,389.5,468.0,452.2,508.7,484.3,1073.2,1073.2,1681.5,442.6,493.9,253.4,256.5,256.5,257.8,394.8,133.6,133.6,122.2,351.3,375.7,468.6,485.0,329.7,609.6,391.0,916.6,1153.1,1323.4,709.9,452.3,225.5,78.4,220.7,334.1,276.9,4277.6,990.5,990.5
53,429.9,452.1,445.5,565.3,550.0,550.0,495.6,495.6,936.4,4511.6,4354.9,4354.9,328.2,242.6,301.3,331.6,331.6,253.9,0.0,472.2,223.6,410.0,460.1,539.6,522.9,579.4,555.0,1247.9,1247.9,1856.2,617.3,668.6,428.1,431.3,431.3,432.5,319.7,204.3,204.3,296.9,464.9,446.4,539.3,555.7,565.1,680.3,356.5,784.9,1327.8,1498.2,884.6,496.2,296.2,175.2,291.3,404.8,540.2,4368.3,1165.2,1165.2
59,576.3,498.7,388.9,147.6,132.3,132.3,310.8,310.8,518.5,4132.8,3975.0,3975.0,678.2,458.2,647.9,480.2,480.2,402.4,472.3,0.0,342.2,62.3,147.2,267.0,210.0,266.5,242.1,831.0,831.0,1034.5,199.4,713.8,474.7,477.9,477.9,479.1,152.6,268.6,268.6,177.1,48.2,133.4,226.4,242.7,711.5,367.4,148.8,675.0,911.0,721.5,927.3,310.3,213.3,323.8,439.9,91.9,586.8,4035.6,645.5,645.5
61,531.2,553.5,446.5,436.9,421.7,421.7,365.5,365.5,809.0,4381.6,4224.9,4224.9,429.6,344.0,402.7,434.6,434.6,355.2,223.6,342.1,0.0,279.9,331.6,409.5,394.4,450.9,426.5,1119.5,1119.5,1216.0,490.0,772.1,529.5,532.6,532.6,533.9,189.6,223.0,223.0,236.1,334.9,317.8,410.8,427.2,666.5,551.8,226.4,654.9,1194.1,1008.2,987.3,366.2,131.2,276.5,362.2,276.3,644.3,4238.2,904.3,904.3
62,514.0,538.5,395.6,154.3,139.0,139.0,148.3,148.3,525.2,4139.5,3981.7,3981.7,616.0,395.9,585.6,417.9,417.9,340.2,410.0,62.2,279.9,0.0,84.9,273.7,147.7,204.2,179.8,837.7,837.7,1041.3,206.1,720.5,514.4,517.6,517.6,518.8,90.3,206.3,206.3,219.4,54.9,71.2,164.1,180.5,649.2,305.1,86.5,612.7,917.7,728.3,934.0,147.8,151.0,261.5,377.7,29.6,593.5,4042.3,652.2,652.2
64,563.3,587.7,480.6,239.2,224.0,224.0,63.4,63.4,477.5,4089.6,3932.9,3932.9,600.0,445.2,634.9,467.2,467.2,389.5,460.1,147.1,331.6,84.9,0.0,78.5,62.8,119.3,94.9,922.7,922.7,889.9,291.1,805.4,563.7,566.9,566.9,568.1,139.6,255.6,255.6,268.7,139.9,13.8,79.2,95.5,698.5,220.2,135.8,662.0,1002.6,813.2,1018.9,62.9,200.3,310.8,426.9,55.3,678.4,4127.2,737.1,737.1
65,641.8,609.5,499.7,119.4,134.7,134.7,43.8,43.8,399.0,4009.4,3851.3,3851.3,678.5,523.7,713.4,545.7,545.7,468.0,538.6,111.1,409.5,163.4,78.5,0.0,43.1,99.6,75.2,707.4,707.4,1113.1,268.5,824.3,585.5,588.6,588.6,589.9,218.1,334.1,334.1,347.2,218.4,92.3,59.5,75.9,777.0,200.5,214.3,740.5,787.3,654.5,1040.8,43.2,278.8,389.3,505.5,133.8,697.6,3912.0,760.0,760.0
67,626.1,650.5,542.8,162.6,177.8,177.8,28.1,28.1,442.1,4026.9,3870.1,3870.1,662.8,508.0,697.7,530.0,530.0,452.2,522.9,209.9,394.4,147.7,62.8,43.1,0.0,56.5,32.1,750.5,750.5,1156.3,353.8,868.2,626.5,629.7,629.7,630.9,202.4,318.4,318.4,331.4,202.6,76.6,16.4,32.8,761.3,157.4,198.6,724.7,830.5,697.6,1083.9,27.5,263.0,373.6,489.7,118.1,740.7,3955.1,799.9,799.9
69,682.6,707.0,599.3,219.1,234.3,234.3,84.5,84.5,498.6,3995.1,3838.4,3838.4,719.3,564.5,754.2,586.5,586.5,508.7,579.4,266.4,574.1,204.2,119.3,99.6,56.5,0.0,24.4,807.0,807.0,795.3,410.3,924.7,683.0,686.2,686.2,687.4,258.8,374.8,374.8,387.9,259.1,133.0,40.1,23.7,817.8,125.6,255.1,781.2,773.4,754.1,1140.4,84.0,319.5,430.1,546.2,174.6,797.2,3893.5,856.4,856.4
70,658.2,682.6,574.9,194.7,209.9,209.9,60.1,60.1,474.2,3994.8,3838.0,3838.0,694.9,540.1,729.8,562.1,562.1,484.3,555.0,242.0,426.5,179.8,94.9,75.2,32.1,24.4,0.0,782.6,782.6,795.0,385.9,900.3,658.6,661.8,661.8,663.0,234.4,350.4,350.4,363.5,234.7,108.6,15.7,0.7,793.4,125.3,230.7,756.8,773.1,729.7,1116.0,59.6,295.1,405.7,521.8,150.2,772.8,3893.2,832.0,832.0
72,1251.9,764.1,827.4,649.7,665.0,665.0,720.1,720.1,276.2,3504.3,3347.6,3347.6,1428.7,1210.1,1401.8,1222.0,1222.0,1039.1,1222.7,901.9,1092.7,839.7,754.8,735.2,692.0,660.2,659.9,0.0,0.0,406.2,596.2,951.2,814.2,817.4,817.4,783.8,960.2,1010.4,1010.4,919.2,749.0,768.6,675.6,659.2,1147.1,644.2,996.9,1425.4,282.7,279.1,665.4,719.5,955.1,1065.6,1191.9,810.1,1025.2,3402.7,382.3,382.3
72,1251.9,764.1,827.4,649.7,665.0,665.0,720.1,720.1,276.2,3504.3,3347.6,3347.6,1428.7,1210.1,1401.8,1222.0,1222.0,1039.1,1222.7,901.9,1092.7,839.7,754.8,735.2,692.0,660.2,659.9,0.0,0.0,406.2,596.2,951.2,814.2,817.4,817.4,783.8,960.2,1010.4,1010.4,919.2,749.0,768.6,675.6,659.2,1147.1,644.2,996.9,1425.4,282.7,279.1,665.4,719.5,955.1,1065.6,1191.9,810.1,1025.2,3402.7,382.3,382.3
